product_id,member,date
134,cxq,2020-11-26 10:34:00
224,psa,2020-11-26 10:57:00
178,ldj,2020-11-26 10:57:00
238,vhm,2020-11-26 10:49:00
124,sgu,2020-11-26 10:46:00
44,ghr,2020-11-26 10:22:00
94,pnl,2020-11-26 10:41:00
182,ngh,2020-11-26 10:31:00
188,tnz,2020-11-26 10:27:00
30,npk,2020-11-26 10:51:00
226,kir,2020-11-26 10:42:00
42,zts,2020-11-26 10:00:00
208,via,2020-11-26 10:38:00
236,ria,2020-11-26 10:16:00
120,egk,2020-11-26 10:08:00
8,sau,2020-11-26 10:47:00
122,zrb,2020-11-26 10:28:00
140,mtz,2020-11-26 10:14:00
124,nzk,2020-11-26 10:52:00
188,pln,2020-11-26 10:24:00
194,skt,2020-11-26 10:16:00
134,aeg,2020-11-26 10:58:00
174,gko,2020-11-26 10:27:00
6,ito,2020-11-26 10:47:00
82,vrs,2020-11-26 10:52:00
210,evt,2020-11-26 10:50:00
88,rty,2020-11-26 10:52:00
124,koy,2020-11-26 10:58:00
232,tqz,2020-11-26 10:36:00
56,mdh,2020-11-26 10:58:00
174,jsd,2020-11-26 10:25:00
214,wyu,2020-11-26 10:47:00
30,aqw,2020-11-26 10:46:00
210,fcg,2020-11-26 10:18:00
160,rjc,2020-11-26 10:47:00
48,zpi,2020-11-26 10:00:00
116,vpd,2020-11-26 10:58:00
152,gnt,2020-11-26 10:44:00
92,viy,2020-11-26 10:05:00
116,hmo,2020-11-26 10:53:00
2,kex,2020-11-26 10:58:00
178,xbk,2020-11-26 10:52:00
180,fvr,2020-11-26 10:07:00
134,zwn,2020-11-26 10:47:00
56,bjp,2020-11-26 10:28:00
48,fod,2020-11-26 10:53:00
18,zvq,2020-11-26 10:18:00
90,goi,2020-11-26 10:40:00
228,kwn,2020-11-26 10:06:00
108,sxd,2020-11-26 10:20:00
186,yxh,2020-11-26 10:21:00
86,qlt,2020-11-26 10:17:00
222,sbg,2020-11-26 10:10:00
178,jcn,2020-11-26 10:55:00
54,fop,2020-11-26 10:24:00
162,bwr,2020-11-26 10:24:00
208,uyg,2020-11-26 10:14:00
214,wtv,2020-11-26 10:05:00
46,dou,2020-11-26 10:42:00
48,yhi,2020-11-26 10:51:00
196,rta,2020-11-26 10:33:00
132,mlr,2020-11-26 10:47:00
38,zmx,2020-11-26 10:30:00
146,rxm,2020-11-26 10:00:00
206,wqz,2020-11-26 10:40:00
62,prl,2020-11-26 10:48:00
24,gtk,2020-11-26 10:15:00
120,pfv,2020-11-26 10:27:00
196,pvi,2020-11-26 10:22:00
154,itd,2020-11-26 10:57:00
166,lnq,2020-11-26 10:07:00
78,spq,2020-11-26 10:26:00
156,zmb,2020-11-26 10:30:00
98,qsl,2020-11-26 10:59:00
198,dys,2020-11-26 10:11:00
48,uey,2020-11-26 10:32:00
150,oxc,2020-11-26 10:57:00
240,gaw,2020-11-26 10:01:00
116,eak,2020-11-26 10:49:00
130,ufc,2020-11-26 10:42:00
4,vzq,2020-11-26 10:08:00
136,sad,2020-11-26 10:02:00
134,iqe,2020-11-26 10:24:00
68,xla,2020-11-26 10:19:00
222,jew,2020-11-26 10:56:00
240,zlv,2020-11-26 10:58:00
10,ynx,2020-11-26 10:20:00
54,yln,2020-11-26 10:50:00
220,tdb,2020-11-26 10:20:00
72,qci,2020-11-26 10:42:00
162,kla,2020-11-26 10:14:00
74,nwh,2020-11-26 10:59:00
